Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
erp sid password lock,21,4,erp sid password lock,21,4,English,advqtkeu uypkfisq,0
update on ticket no,19,4,update on ticket no,19,4,English,rbozivdq gmlhrtvp,0
printer ask to update driver,28,5,printer ask to update driver,28,5,English,gqhfieys pkwcdbrv,0
erp sid password reset,22,4,erp sid password reset,22,4,English,ybplwrez lqcyehbf,0
ticket update on ticket no,26,5,ticket update on ticket no,26,5,English,fumkcsji sarmtlhy,0
etime visibility on hr tool,27,5,hi all have this issue a month ago and be tell to delete browse history i do and access be restore i routinely clear browse history but today can not view etime see attach screen shot,183,36,English,xszoedmc gmhkdsnw,0
unable to send skype meeting invitation,39,6,unable to send skype meeting invitation,39,6,English,sdbcpvtx hzpctsla,0
ughzilfm cfibdamq call request for the appreciate hub link,58,9,ughzilfm cfibdamq call request for the appreciate hub link,58,9,English,olckhmvx pcqobjnd,0
windows account lock,20,3,windows account lock,20,3,English,vyjmlain hvjbmdgi,0
problem with ie niptbwdq csenjruz,33,5,problem with ie niptbwdq csenjruz,33,5,English,niptbwdq csenjruz,24
want to know if the account of pathuick stope be still active,61,12,want to know if the account of pathuick stope be still active,61,12,English,aorthyme rnsuipbk,0
can no longer print to tc,25,6,i be no longer able to print to tc i must install a driver for this and i be not sure how i use to be able to print to tc without an issue and for some reason i be no longer able to,181,44,English,zhwktnia dfhormwk,0
analysis add in do not show up,30,7,analysis add in do not show up,30,7,English,dslamtcb ezbmonjr,0
s to k for hcuixqgj mavxgqbs,28,6,s to k for hcuixqgj mavxgqbs,28,6,English,ughzilfm cfibdamq,34
install ewew acqpinyd ecygimqd,30,4,install ewew acqpinyd ecygimqd,30,4,English,acqpinyd ecygimqd,24
problem with portal acqpinyd ecygimqd,37,5,problem with portal acqpinyd ecygimqd,37,5,English,acqpinyd ecygimqd,24
email password reset,20,3,email password reset,20,3,English,olckhmvx pcqobjnd,0
problem with portal hcuixqgj mavxgqbs,37,5,problem with portal hcuixqgj mavxgqbs,37,5,English,hcuixqgj mavxgqbs,24
hr tool etime not load,22,5,hr tool etime not load,22,5,English,psikzmba stumdcqp,0
please delete the attach series of meeting,42,7,meeting be schedule by a former employee organizer panjkytr mehrota subject fw nextgen kentip mfg detail from panjkytr mehrotra send wednesday march am to panjkytr mehrotra ohljvzpn phwdxqev fabijhsd ocsnugeh ksvlowjd ptyzxscl nwgcbfdt ahmbnsoi aditya choragudi gotbumak ymdqokfp cyxieuwk rekwlqmu ruy frota estaxpnz mqhrvjkd vipqmdse zkaowfrx jhwgydeb ufiatosg ynlqrebs hwfoqjdu doug harman ejvkzobl yijgokrn frmyejbx weclfnhx cltszugw tgzbklec gdxujefz egnwtvch raouf benamor lpnzjimdghtyy mwtvondq lwguyibh nqepkugo knqmscrw sdtoezjb arjpdohf mrqwdtil subject nextgen kentip mfg when occur every wednesday effective until from am to am utc eastern time us canada where mccoy,677,91,English,jhwgydeb ufiatosg,26
job job conf s fail in job scheduler at,39,9,receive from email job job conf s fail in job scheduler at,58,12,English,bpctwhsn kzqsbmtp,9
whenever pc be turn on show a bluescreen but then work,54,11,whenever pc be turn on show a blue screen but then work keith suspect the cache be cause,88,18,English,fmorwhip jidvlbtp,0
unable to find network drive after password reset,49,8,unable to find network drive after password reset,49,8,English,dxtulsik xizungmt,0
vip issue with monitor display,30,5,name stdezpqw bkmeuhfz email email telephone summary nd monitor be no longer operate as the nd display office be re arrange yesterday when i move the monitor to the right location stop display the content only show a dell window with self uacyltoe hxgaycze feature check red gtehdnyu blue white bar beneath that message couldn t activate through control panel,359,60,English,stdezpqw bkmeuhfz,3
account lock,12,2,account lock,12,2,English,qmgspxkf mckfysdh,0
configair server in sid uacyltoe hxgaycze environment not work properly please restart the server,97,14,mill model model in sid be not work correctly while start the configuration proce from scratch do not run through the procedure create to default characteristic value base on select product platform please restart the server as i have an important training session to amerirtcas cas team at pm cest time today which be min from now,331,57,English,iavozegx jpcudyfi,14
password issue,14,2,hi mr indra kurtyar a be not able to log in due to password issue kindly provide new password to the person name mr indra kurtyar a i no user would vvrajai email indrakurtyar email good,185,36,English,lpdrjngh brdquyct,0
production read and write authorization for hostname,52,7,production read and write authorization for hostname,52,7,English,veyduami hjxpwqbi,34
modify quote performance model,30,4,the model and field pk publish pk otc quote zcae quote performance s value raw doc curr qt see to be round see attach screenshot convert to usd for that sample quote be but the value in lc be but the currency for the document be in usd so these two field should match,267,54,English,urhpnlaf agmsfqil,9
unable to connect to company secure,35,6,unable to connect to company secure,35,6,English,ugephfta hrbqkvij,0
please upgrade tom and karghyuens office to the new,51,9,please upgrade tom and karghyuen s office to the new,52,10,English,zarlgjes nxjvzcta,3
erp sid password reset,22,4,please reset password not sure why give problem,47,8,English,gvderpbx udrzjxkm,0
laptop be get a power supply not sufficient warning on boot up when dock,72,14,laptop be get a power supply not sufficient warning on boot up when dock,72,14,English,jmrukcfq rdyuxomp,3
zlz agreement don´t create a planning demand,44,7,receive from email hello help the zlz agreement be show in md as demand but the be no po for the production plant the zlz agreement be not show as demand in md maybe be a problem with the material type mit freundlichen grüßen best,230,45,English,qbewrpfu lwibmxzo,13
ughzilfm cfibdamq call in to reset password for zlnfpuam aktplhre,65,10,ughzilfm cfibdamq call in to reset password for zlnfpuam aktplhre,65,10,English,olckhmvx pcqobjnd,0
drucker vh und vh funktionieren nicht ticket bitte an edv germany hr wurdack steinich,85,14,• printer name make model ex hq – wy hp hp laser jet • detailed description of the problem druckauftrag wir nicht ausgeführt • type of document not print email – excel – word … etc • what system or application be use at time of the problem ex windows erp kls • if not print at all do respond to a ping command on the network and have a power cycle of the printer be complete • if erp system which system ex sid sid hrp plm • if s an erp printer problem can the erp output be reroute to another erp printer temporarily what printer can be reroute too • if document be not print correctly please scan copy of the document and attach to the ticketing tool ticket,659,132,English,tcepzdhi ymbirlod,33
outlook not work,16,3,outlook not work,16,3,English,nvszqucy rhtwlzkj,0
outlook not work,16,3,outlook not work,16,3,English,hbmwlprq ilfvyodx,0
user moblews forget telephony software password,47,6,user moblews forget telephony software password schtrtgoyht mobley,66,8,English,ijmabvlz vosuedkm,7
pc eemw to configure the barcode display and can print,54,10,pc eemw to configure the barcode display and can print ebs office a thick,73,14,English,djilqgmw bidchqsg,42
hsh,3,1,receive from email hi please reset the password of mr aqihfoly xsrkthvf emp no name useid manager aqihfoly xsrkthvf hsh panghyiraj shthuihog fyi cid image png sid af with,170,29,English,badnzyue nxuqmdwl,0
folder release for m kvp and ce leiter,38,8,folder release for m kvp and ce leiter,38,8,English,nemzycxb xpsgkahw,34
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
wifi be not work,16,4,wifi be not work,16,4,English,umkpayhc adflvbxg,0
please give administration permission for user would reddakv,60,8,please give administration permission for user would reddakv need to install team basic application and software s,114,17,English,utyeofsk rdyzpwhi,19
org inwarehouse tool issue,26,4,the inwarehouse tool print output be not complete ie item no quantity unit price and total amount be dierppear attach delviery note and inwarehouse tool be for information please help fix this issue and advise back to us aerp,225,39,English,tqfnalpj qyoscnge,13
org inwarehouse tool issue,26,4,refer to this inwarehouse tool no the print inwarehouse tool be not complete ie the line item no quanttiy unit price and tootal amount be dierppear also the total inwarehouse tool amount be not correct the attach be relate delivery note and inwarehouse tool as for information please help fix this issue and inform aerp,319,55,English,tqfnalpj qyoscnge,13
please restart the sid server today pm est,42,8,hello team java change be move to production but unfortunately db change be not move so request please restart the sid server to reflect dba change in production,161,28,English,nvxkdqfi slkojtcg,21
incorrect logo be be display on distributor tool,48,8,incorrect logo be be display on distributor tool logo change be request with the ticket ticket no logo change be do and move to qa since there be one file which be dependent with other ticket and logo change file be move along with other ticket where requestor do not want the logo change now,292,55,English,vbmzgsdk jdmyazti,21
viewer for step file,20,4,receive from email hello i need an viewer at computer to check step file mit freundlichen grüssen with good,107,19,English,azyfsrqh wkavqigu,0
setup new ws zlnfpuam aktplhre,30,5,setup new ws zlnfpuam aktplhre,30,5,English,zlnfpuam aktplhre,24
erp purchase access issue user kgueyiwp cjlonvme helmu,54,8,system sid sid sid sid hrp other purchase portal mycompany company com irj portal enter user would of user have the issue helmu describe the issue action could not be perform the attribude of the user be inconsistent or not define see transaction ppoma ppb attach screen shot,275,48,English,ekvtdcyq grncjlho,29
power outage vogelfontein sa site hard down since am et on,58,11,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start am et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit yes yes no na backup circuit active no yes no na site contact notify phone email no yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,634,119,English,spxqmiry zpwgoqju,8
printer in auslieferbereich always the same invoice time then the right will only be print,90,15,printer in auslieferbereich always the same invoice time then the right will only be print erp trouble,102,17,English,egklxsoy hivwzjcf,0
fqhlvcxn zdfymgjp want to share the file fqhlvcxn zdfymgjp pdf with,67,11,receive from email to view fqhlvcxn zdfymgjp pdf sign in company post select the follow link to view the disclaimer in an alternate language,140,24,English,fqhlvcxn zdfymgjp,0
pls check erp sid account of vvgraec be not able to sign on anymore,67,14,pls check erp account of vvgraec be not able to sign on anymore pls see attachment,82,16,English,vwpxjtof vmidzswj,2
,0,0,receive from email cid image png sid fdbf sincerely ulrike assmann custom solutions engineering europe drilling countersink email mailto email t f company share services gmbh wehlauer street d fürth www company com company share services gmbh managing director phvkowml azbtkqwx naruedlk mpvhakdq seat of the company fürth bay registergerirtcht fürth bay hrb this message be unique and determine solely for use by the addressee and may contain information that be not cover for protection confidential or under applicable law of the disclosure the spread distribution or duplication of this message by people which be other than the intend recipient be strictly prohibit if this message mistake receive by due to then please notify the sender and delete this message company post select the follow link to view the disclaimer in on alternate language,850,134,English,yzbjhmpw vzrulkog,0
url portal not function,23,4,receive from email dear sir mycompany company com site not function for apply leave kindly support,98,16,English,cxltnjuk hkdefraw,0
hostname volume f label dat hostname ad be over space consume space available m,79,14,hostname volume f label dat hostname ad be over space consume space available m,79,14,English,spxqmiry zpwgoqju,12
security incident in vid bare http get executable from ip address possible downloader,85,13,source ip system name user name location sep sms status field sale user yes no dsw event log event detail s event would vid bare http get executable from ip address possible downloader trojan classification none priority action accept passive impact flag impact block vlan mpls label pad sensor would event would time xref vid src ip dst ip sport itype dport icode proto tcp ttl tos x would iplen dgmlen df ap seq xfbcdcc ack xec win x tcplen pcap s c xz eawn w w e w a f f a o f ee eeo p fb c dc c e p d d get yahoo csrsv exe http d ahost d aconnection keep alive d a d a pcap e ex http uri yahoo csrsv exe ex http hostname o security correlation data sep dhcpd dhcpack on to c e f f a e lhql via eth relay lease duration renew lowercaseurlcorrelation yahoo csrsv exe srcip urlcorrelation yahoo csrsv exe vendorreference vid foreseeconndirection outgoing refererproxycorrelationurl null foreseeexternalip eventtypeid unique event hash ontologyid foreseeinternalip urlpath yahoo csrsv exe srchostname lhql inspectorruleid inspectoreventid httpmethod get netacuity destination organization ecatel ltd vendoreventid device would foreseemaliciousprobability event summary vid bare http get executable from ip address possible downloader trojan tcpflags ap agentid srchostname lhql cvss foreseedstipgeo den dolder nld devip inlineaction proto tcp dstport vendorpriority ileatdatacenter true vendorsigid srcport globalproxycorrelationurl csrsv host dstip source network type internal url yahoo csrsv exe urlfullpath yahoo csrsv exe urlhost irreceivedtime action not block ctainstanceid vendorversion httpversion http logtimestamp foreseemaliciouscomment negativeevaluationthreshold positiveevaluationthreshold modelversion classifiertype naivebayes annotatorlist action not block eventtypeid ontologyid evaluationmodel nb global model netacuity destination isp ecatel ltd device network type internal srcmacaddress c e f f a e sherlockruleid eventtypepriority,1954,288,English,gzhapcld fdigznbk,3
hostname volume c label sys hostname ab be over space consume space available g,79,14,hostname volume c label sys hostname ab be over space consume space available g,79,14,English,spxqmiry zpwgoqju,8
hp hot furnace datum transmission card data update do not come out please help transfer koga,92,16,hp hot furnace datum transmission card data update do not come out please help transfer koga,92,16,English,basqoyjx frvwhbse,30
zpononpo mp s data be incorrect,31,6,zpononpo mp s data be incorrect,31,6,English,nrugzxkl lohqkvry,9
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,6
question who be take care on report zzsdspc,43,8,i ve realise that not need customer stock bucket be not need the customer order be already complete but the stock be reserve for these order therefore stock will sit there for ever would please address to the people responsible that would allow to reduce stock level,266,47,English,atlwdyej vtlhzbix,54
user creation and deletion on droracle hostname and hostname,60,9,create user unix team user with sudo privilege for trayton and neal server droracle delete user markhty snyder gptmrqzu muiqteyf pollaurid griener server hostname hostname droracle,180,26,English,klopfgxd odxgmqhy,47
not able to upload the engineering tool with any or the vpn or vpn,66,14,receive from email cid image jpg sid bfca,41,8,English,nmqgrkex ldeizfrm,0
password woman koburvmc jwzlebap,32,4,receive from email hi riess woman be the fourth october again begin work on tuesday please password reassign woman riess be expect by reach the office by to be good with friendly greeting,187,33,English,mobaidfx gviwlsrm,0
bridgex from lacw monitoring tool robot transaction down,56,8,bridgex from lacw monitoring tool robot transaction down copy of netperfmon event log transaction bridgex from lacw be down reason step upload excel file step fail element file upload field be not find action be execute successfully hi team get the above alert in monitoring tool check with basis team and there be no issue from side,333,57,English,spxqmiry zpwgoqju,60
both the number for gso be not work,35,8,both the number for gso be not work germany usa or call be land on the phone but caller can not hear anything communication be one way agent can hear but not caller,164,33,English,aorthyme rnsuipbk,7
network outage kingston pa site be down since am et on,54,11,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start am et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit no yes no na backup circuit active na yes no na site contact notify phone email noi yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,634,119,English,spxqmiry zpwgoqju,8
printer prtsg,13,2,receive from email hello team please help to confirm printer prtsg as be not able to configure from side,104,19,English,bcxpeuko utorqehx,0
erp access issue p passwort zurück setzen,41,7,system sid sid sid sid hrp other p enter user would of user have the issue reisenkostenabrechnung nicht möglich da zu viele falsche anmeldungen bitte passwort zurück setzen danke transaction code s the user need or be work with describe the issue if be get a not authorize message recreate the condition then do nsu and attach result to the ticketing tool ticket provide access the same as this other user,405,71,English,ukqoiswv unjarfoq,2
reactivate ruenzm be ceo usa deloro group be urgent,51,9,reactivate ruenzm be ceo usa deloro group be urgent,51,9,English,pwotudlf wpjlxfke,2
outlook indexing,16,2,i can for about one week in search outlook not use because the note be element currently of outlook index appear have pc with an open outlook run over the weekend but so far always the same currently still need element be index be yesterday element about i have therefore as i mail from a year ago to now suchfunkton can find massive problem with the no,353,67,English,qjsydrfo oeicyswt,0
unlock erp account user would murakt,36,6,please unlock erp account user would murakt,43,7,English,knpodsal pzdkcimf,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
login block,11,2,receive from email hello i be not able to login to business client due to wrong password pl unblock and let know the exist password to reset the same with new password,167,32,English,ublisodp qydfvpgw,0
out look be not open,20,5,out look be not open show error message couldn t able to access mail,68,14,English,kzybxher prjaswhe,19
unable to login to ess protel,29,6,unable to login to ess portal,29,6,English,svmkobqj sgqtdubv,0
unable to login to window,25,5,unable to login to window,25,5,English,zgmdster bdvcealj,0
reset password for knemilvx dvqtziya use password management tool password reset,80,11,the,3,1,English,jtwykasf elkhcjqn,17
atp for mm issue,16,4,receive from email hello sirs have a schedule agreement about mm pc which request delivery time be in and the stock can meet agreement but in there be pc create in plant and then take all current plant stock and only confirm us pc as below which can not meet the customer s demand so want to check what be the current rule about the confirm date why the stock meet the back order not the previous order cid image png sid bcee,425,83,English,qgrbdnoc dgupnhxv,6
job bkwin hostname inc fail in job scheduler at,47,9,receive from email job bkwin hostname inc fail in job scheduler at,66,12,English,bpctwhsn kzqsbmtp,8
job sid filesys fail in job scheduler at,40,8,receive from email job sid filesys fail in job scheduler at,59,11,English,bpctwhsn kzqsbmtp,8
ba printer still keep print some error task please help,55,10,ve face the problem ie the printer ba do keep print the job which be wrongly assign by some user vvkujup turn off the printer and lan by yesterday evening and turn on printer and plug lan this morning however the printer do still print such job as check with local printer team suggest to change ip address at ba as attach please help stop such error printing and advise back to us aerp,386,74,English,tqfnalpj qyoscnge,5
erp mae windows ad account be lock,34,7,erp mae ad account be lock and hana production job be fail unlock immediately and share the root cause please assign to safrgyynjit or team and reach immediately on call,169,30,English,petgvwch zevpkogu,2
ask zwip report,15,3,when i sae the zwip report the sale order be not show customer and sale order as well please check the reason and let know how to show above information in zwip plant plant prodcution order,189,36,English,zcqnuawo zxdtskpw,45
win the system prompt to update all application be not open,59,11,win the system prompt to update all application be not open,59,11,English,bxtdalsj rnkvcshb,31
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,10
metal cut technology p l company zqt,36,7,hi team i have create the attach quote however be not up show correctly see attach can please fix this as soon as possible,122,24,English,uisewznr ewtmkphs,13
do not match the amount of exist inventory and account ufida,60,11,ufida inventory of exist debt and the amount do not match product code stock ledger kg kg stand crop,100,19,English,qypsxviu xagqtblv,48
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,10
download issue,14,2,receive from email i be try to download the software to do tooling report on company dell in and i keep get error message i assume someone will have to take remote access of computer to see what be go on tommyth duyhurmont channel partner sale engineer company inc email mailto email www company com www company com engineering tool en home html,345,63,English,uezonywf rldbvipu,19
i have another shipment that will not process,45,8,commodity detail error the same as inc dn sto this consignment be urgent so can be resolve quickly please,105,19,English,lzspyjki smdbqnef,18
can not connect,15,3,receive from email for some reason i can not connect to the vpn i have try usual username and password but be not work cid image jpg sid f a,140,30,English,vjuxfokc cwhxnoug,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
user get prompt to upgrade java,31,6,user get prompt to upgrade java connect to the user system use teamviewer advise the user to complete the installation issue resolve,132,22,English,mdbegvct dbvichlg,0
erp business workplace inbox be not work,40,7,erp inbox for smitrtgcj be not work i have create a background report to run and deliver to erp inbox but be not deliver i have also try to create a mail thru the erp inbox and send to and i get the error erp user christgry smhdyhti do not exist even though i show up in the soplant transaction,294,60,English,pdokqgrn bqkpaxcm,11
custom quote at save receive error message of enter rate usd rate type m for in the system setting,98,19,name lagqcompanyo xqtldrcs language browser microsoft internet explorer email email customer number telephone summary custom quote at save receive error message of enter rate usd rate type m for in the system setting see attachment,231,35,English,lagqkmto xqtldrcs,13
business client issue,21,3,briefly describe what be try to do and the issue have encounter i be try to access material drawing but be get an error message when i log in see attach please include a screenshot of any error message,201,39,English,xzvqgodj arqcuvim,0
job job conf s fail in job scheduler at,39,9,receive from email job job conf s fail in job scheduler at,58,12,English,bpctwhsn kzqsbmtp,9
can reset password for sid,26,5,name fybwjzhx ojgrpafb language browser microsoft internet explorer email email customer number telephone summary can reset password for sid,140,19,English,fybwjzhx ojgrpafb,0
reset the password for fueiklyv jargqpkm on erp production bw,61,10,please reset password,21,3,English,fueiklyv jargqpkm,0
i instal the analysis for microsoft excel in erp business intelligence and i be get an error message,100,18,i be able to open the analysis for microsoft excel but when i click on log in to erp business object i get an error message that say the launcher be exit with error see log file for more detail the analysis add in be not register correctly when i click on logfile folder i get a dialog box that way window can t open this file file launcher log glf and ask to find the programdnty to open the file,397,81,English,fueiklyv jargqpkm,0
channel management claim issue,30,4,claim be approve but be not show up in settlement list can not get credit to generate also can not reject in order to create a new claim i create a new claim to replace but have concern with proceed to process if i can not reject the first please advise as owe the customer credit new claim,290,58,English,pfzxecbo ptygkvzl,15
job job a fail in job scheduler at,34,8,receive from email job job a fail in job scheduler at,53,11,English,bpctwhsn kzqsbmtp,9
password reset,14,2,password reset,14,2,English,dvncgqek skvcrebq,0
crm addin box do not stay check,31,7,gso please reach out to lryturhy to correct addin issue after rechecke crm addin box and closing outlook become unchecked again and the addin portion of the ribbon dierppear,173,29,English,crjhotyk pxslorbe,0
expense report block,20,3,expense report block,20,3,English,cqlehowf aosqelnr,0
work on the fax line in usa to see if can do without have to order any part,75,18,work on the fax line in usa to see if can do without have to order any part,75,18,English,makiosjc kxapdhnm,7
outlook not work be ok this morning but will not let back in now,64,14,outlook down wlhxrogv yawtxuod,30,4,English,wlhxrogv yawtxuod,0
work on get new laptop ready for,32,7,work on get new laptop ready for,32,7,English,zjihgovn cqxahony,3
unable to load outlook,22,4,unable to load outlook,22,4,English,tkflbvim smwqzfgc,0
business object analysis error,30,4,i recently change work computer from an gb business model to a gb engineering model i frequently use business object analysis for excel when open file that i have save that use datum connection i be run into an error that prompt to try and migrate the connection from odbc to http see attach error because i be not familiar with this i can not refresh datum on old workbook can someone assist,392,73,English,ferxqvsm esmwxqlf,0
login issue,11,2,login issue verify user detail employee manager name check the user name in ad unlock the account advise the user to login and check caller confirm that be able to login issue resolve,183,33,English,nmpworvu upgtrvnj,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,10
srvlavpwdrprd company company com be not respond this be calibration system need up aerp,88,14,srvlavpwdrprd company company com be not respond this be calibration system need up aerp,88,14,English,vushymxe ifrbzdtl,61
netweaver access,16,2,receive from email hello can someone help with netweaver access,63,10,English,oqvwgnkc gkjylpzx,0
reset the password for fueiklyv jargqpkm on erp production erp,62,10,i try use window login password but be not work,47,10,English,fueiklyv jargqpkm,0
skype certificate error,23,3,skype certificate error,23,3,English,rstjupxe yjlgsiah,0
dealer open order be appear in vkm,34,7,hi please raise ticket all dealer open order be appear in vkm – credit check even though the credit utilization be within the limit this start after change the credit term as z to all open order gajthyana hegdergyt manager finance email for technical assistance email,267,46,English,miecoszw mhvbnodw,10
client company inc reject edi inwarehouse tool,46,7,from nihtykki mcgyuouald send tuesday september pm to nwfodmhc exurcwkm subject amar fw client company inc reject edi inwarehouse tool hello please check into the below edi file to see why be reject from system have provide the technical support below,251,41,English,iqcylpok ascpqvni,32
pr workflow,11,2,from grhryueg dewicrth send tuesday september pm to nwfodmhc exurcwkm subject amar fw pr workflow hello help can help – please see the image in the email below – there be a workflow that i need to process but will not give an approve or reject option and will not pull up the detail in the portal i be also access from outside of company as i be travel for work,361,71,English,kehtxprg uekapfzt,29
new laptop setup,16,3,help to create and configure the user login profile and outlook,63,11,English,uvrbhlnt bjrmalzi,19
ticket update on inplant,24,4,ticket update on inplant,24,4,English,fumkcsji sarmtlhy,0
unable to view datum in distributor tool account,48,8,unable to view datum in distributor tool account,48,8,English,csotmdiw yfeqcbti,0
dock station telephony software ip phone,40,6,request for install the dock station and ip phone for the telephony software application,88,14,English,gzjtweph mnslwfqv,19
the termination action for johhdyanna kadyuiluza have complete,62,8,hello a termination for johhdyanna kadyuiluza effective have be approve,71,10,English,mobaidfx gviwlsrm,2
job job conf s fail in job scheduler at,39,9,receive from email job job conf s fail in job scheduler at,58,12,English,bpctwhsn kzqsbmtp,9
vpn connectivity be too slow,28,5,vpn connectivity be too slow,28,5,English,pbfscenq qvaylkne,0
vpn disconnect,14,2,vpn disconnect,14,2,English,hjxtczwo wdrxmtqg,0
erp mae would seem to be lock in hana sid,41,10,erp mae would seem to be lock in hana sid request for unlock,60,13,English,petgvwch zevpkogu,53
unable to launch outlook,24,4,unable to launch outlook,24,4,English,mvaxhzks kyzvflth,3
printer not print,17,3,name xernsfqa uzvsnlbd language browser microsoft internet explorer email email customer number telephone summary i be receive error message when try to update printer driver i m unable to print to the printer i need to utilize dg and dg,237,40,English,xernsfqa uzvsnlbd,0
outlook will not work on computer this be since password change work on phone but not laptop,92,17,bsxvtpke vbfcashd cell system affect be dell laptop outlook,59,9,English,bsxvtpke vbfcashd,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,hjxtczwo wdrxmtqg,0
unable to connect to company secure in usa,42,8,unable to connect to company secure in usa,42,8,English,horzelqj ujyzldmh,0
update on ticket no,19,4,name dfgtyon stasrty language browser microsoft internet explorer email email customer number telephone summary can get this ticket ticket no complete today i need to be able to get this site up thank u,202,34,English,rbozivdq gmlhrtvp,0
account unlock,14,2,account unlock,14,2,English,jqxtbspr mpfdivlh,0
ticket update on inplant,24,4,ticket update on inplant,24,4,English,fumkcsji sarmtlhy,0
inwarehouse tool be not automatically be send to helical when reference to contract,83,13,customer sale org have inwarehouse tool automatically set to be email this work for standard order zkb and zke s order type but when an order be reference to a contract be not be transmit the partner in the order be correct but on the inwarehouse tool be the same as the sell to party please see attach for example,314,60,English,vcedphrq yajdpgnz,13
ticket update inplant,21,3,ticket update inplant,21,3,English,olckhmvx pcqobjnd,0
sid password,12,2,receive from email please reset password in sid see msg below,61,11,English,czsmnbdi ispdhfer,0
hello i be have problem run open sale backorder report datum will not download past,83,15,hello i be have problem run open sale backorder report datum will not download past,83,15,English,bmixaeon mtaguhed,13
unable to login to skype,24,5,unable to login to skype,24,5,English,ugephfta hrbqkvij,0
programdnty zfiu problem with credit not be issue on some account,65,11,have some account where tax be not be issue and be code to the reason code code that be part of this job i have attach example,126,27,English,rhwsmefo tvphyura,10
unable to set up skype meeting,30,6,unable to set up skype meeting,30,6,English,keqvyfzw qwbohdxg,0
computer ewew blue screen wrcktgbd wzrgyunp,43,6,computer ewew blue screen wrcktgbd wzrgyunp,43,6,English,wrcktgbd wzrgyunp,24
reinstall hardkopy wu wrcktgbd wzrgyunp,39,5,reinstall hardkopy wu wrcktgbd wzrgyunp,39,5,English,wrcktgbd wzrgyunp,24
problem with hp error lxvunpiz mgjxwept,39,6,problem with hp error lxvunpiz mgjxwept,39,6,English,lxvunpiz mgjxwept,24
computer ewew very slow lxvunpiz mgjxwept,41,6,computer ewew very slow lxvunpiz mgjxwept,41,6,English,lxvunpiz mgjxwept,24
setup new ws sgnubadl gpkovbah,30,5,setup new ws sgnubadl gpkovbah,30,5,English,sgnubadl gpkovbah,24
unable to connect to tc and tc,30,7,unable to connect to tc and tc,30,7,English,arjpdohf mrqwdtil,0
erp sid password reset do,25,5,erp sid password reset do,25,5,English,upcajlmd uqsbmiea,0
account lock,12,2,account lock,12,2,English,sygionua szunhced,34
password be not get synchronize,31,5,password be not get synchronize,31,5,English,keqldvig hmiyeobl,0
reset passsw erp sid user almrgtyeiba,37,6,hi team could please reset passw the erp sid user almrgtyeiba gvtbduyf gdblxiva only erp tnks,93,16,English,qasdhyzm yuglsrwx,0
unable to launch outlook after reset the password,49,8,unable to launch outlook after reset the password,49,8,English,keqldvig hmiyeobl,0
crm plugin not respond,22,4,crm plugin not respond,22,4,English,owlgqjme qhcozdfx,0
urgent crm mailbox be not synchronise,37,6,urgent crm mailbox be not synchronise get a call from vitalyst ve check the crm sync setting and say that everything be in order however the crm mailbox be not synche not accept the username password too phone sartlgeo lhqksbdx,227,40,English,crjhotyk pxslorbe,40
printer problem issue information,33,4,please complete all require question below if not will be return back to the gsc requester to provide require information • gsc to review ticket if not able to resolve then please assign to appropriate group per printer problem assignment flowchart • printer name make model hr on hostname • detailed description of the problem keep ask for a driver install but will not install driver update • type of document not print all try • what system or application be use at time of the problem window • if not print at all do respond to a ping command on the network and have a power cycle of the printer be complete turn off and on printer • if erp system which system ex sid sid hrp plm • if s an erp printer problem can the erp output be reroute to another erp printer temporarily what printer can be reroute too • if document be not print correctly please scan copy of the document and attach to the ticketing tool ticket,920,173,English,owhuxbnf sxbgyrou,0
